,0
2018-01-01,50.0
2018-01-02,52.63758454148779
2018-01-03,55.32508190427941
2018-01-04,58.8757779571292
2018-01-05,54.06461639542195
2018-01-06,65.05001701670881
2018-01-07,70.18940753859255
2018-01-08,67.86802405269323
2018-01-09,65.02925299619541
2018-01-10,64.68272662466366
2018-01-11,61.4783359095813
2018-01-12,60.66926873168151
2018-01-13,59.72451018027074
2018-01-14,55.11768958373629
2018-01-15,52.14449477965517
2018-01-16,46.11326024642685
2018-01-17,48.85692469310607
2018-01-18,47.081060385801706
2018-01-19,54.279652583245706
2018-01-20,49.39601868548456
2018-01-21,51.13085691292283
2018-01-22,56.42860054629374
2018-01-23,59.595830209402855
2018-01-24,52.08524335136284
2018-01-25,56.86569215614916
2018-01-26,63.13730410964735
2018-01-27,56.50965550005517
2018-01-28,58.15536560284437
2018-01-29,74.33133013675601
2018-01-30,72.56560953634391
2018-01-31,82.02040157207776
2018-02-01,75.49611884996206
2018-02-02,81.33637886167166
2018-02-03,69.88413900454961
2018-02-04,61.93495322024554
2018-02-05,53.89564453283591
2018-02-06,52.44899889055712
2018-02-07,49.29527699512855
2018-02-08,49.85589024879381
2018-02-09,54.36748199832204
2018-02-10,51.09152521597797
2018-02-11,55.63283189453324
2018-02-12,55.703054757318746
2018-02-13,57.55898307304813
2018-02-14,58.30031960890671
2018-02-15,55.04273962227179
2018-02-16,58.27155592056089
2018-02-17,62.95101113706018
2018-02-18,61.28568790999699
2018-02-19,50.80738967521741
2018-02-20,60.07800479073266
2018-02-21,68.95974168600331
2018-02-22,58.85334390096424
2018-02-23,58.29645343088927
2018-02-24,49.85734690963119
2018-02-25,42.7543085436174
2018-02-26,42.72580515945155
2018-02-27,46.43538061631863
2018-02-28,48.90830780314645
2018-03-01,49.47542554714532
2018-03-02,46.94603388563653
2018-03-03,51.183389647843526
2018-03-04,50.97495938225411
2018-03-05,55.72381357660871
2018-03-06,60.082441785425466
2018-03-07,57.80721283526219
2018-03-08,63.74031801684112
2018-03-09,79.66769144732497
2018-03-10,69.32826439143902
2018-03-11,60.57100761370721
2018-03-12,59.07482231083594
2018-03-13,48.40304660881905
2018-03-14,47.14588181557591
2018-03-15,44.54475050441744
2018-03-16,43.65289491438046
2018-03-17,39.58744212577111
2018-03-18,37.58574259997187
2018-03-19,46.41188722995733
2018-03-20,43.03068962681813
2018-03-21,43.66114026246029
2018-03-22,48.69086089022464
2018-03-23,46.08756532572272
2018-03-24,48.52202346492084
2018-03-25,48.43453710998652
2018-03-26,46.06308781649175
2018-03-27,45.49232392331092
2018-03-28,55.44842732737317
2018-03-29,65.5634687252915
2018-03-30,63.08157316443409
2018-03-31,70.73671381892925
2018-04-01,62.02886521273967
2018-04-02,62.28200597399128
2018-04-03,66.09494338422554
2018-04-04,60.52893912909529
2018-04-05,60.70598887254398
2018-04-06,59.39108416798976
2018-04-07,63.56509871199686
2018-04-08,67.25151552286952
2018-04-09,66.68937113893504
2018-04-10,59.650847723604905
2018-04-11,57.69933362577692
2018-04-12,62.725351410365136
2018-04-13,56.55746871497777
2018-04-14,55.00345526990238
2018-04-15,48.14487030609473
2018-04-16,47.1773717671713
